Ground Theme - Super Mario Bros. (Brawl)	a01_smb_chijyou
Underground Theme - Super Mario Bros.	a02_smb_chika
Underwater Theme - Super Mario Bros.	a03_smb_suichu
Underground Theme - Super Mario Land	a04_lnd_chika
Airship Theme - Super Mario Bros. 3	a05_smb3_hikousen
Castle / Boss Fortress - Super Mario World / SMB 3	a06_wld_castle_toride
Title/Ending - Super Mario World	a07_wld_title_ending
Main Theme - New Super Mario Bros.	a08_new_maintheme
Main Theme - Luigi's Mansion (Brawl)	a09_lm_theme
Gritzy Desert	a10_malrpg2_zarazarasabaku
Delfino Plaza	a13_sms_dolpiktown
Ricco Harbor	a14_sms_riccoharbor
Main Theme - Super Mario 64	a15_sm64_maintheme
Mario Bros.	a17_mb_mariobrothers
Mario Circuit - Super Mario Kart	a20_smk_mariocircuit
Luigi Raceway - Mario Kart 64	a21_mk64_luigicircuit
Waluigi Pinball - Mario Kart DS	a22_mkds_waluigipinball
Rainbow Road - Mario Kart: Double Dash!!	a23_mkdd_rainbowroad
Ground Theme / Underground Theme - Super Mario Bros.	a24_smb_chijyou_chika
Super Mario Bros. 3 Medley	a25_smb3_medley
Athletic Theme - New Super Mario Bros. 2	a26_new2_athletic_chijyou
Ground Theme / Underwater Theme - Super Mario 3D Land	a27_3dl_smb_theme	a27a_3dl_smb_theme_part1	a27b_3dl_smb_theme_part2
Try, Try Again	a28_malrpg4_tryandtry
Paper Mario Medley	a29_ppm_medley	a29a_ppm_medley_part1	a29b_ppm_medley_part2	a29c_ppm_medley_part3
Rainbow Road Medley	a30_mkt_rainbowroad_medley
Rainbow Road - Mario Kart 7	a31_mkt7_rainbowroad
Super Mario Bros. Medley	a32_smb_medley
Super Mario Bros.: The Lost Levels Medley	a33_smb2_medley
Fortress Boss - Super Mario World	a34_new2_touboss
Super Mario World Medley	a35_wld_medley
Circuit - Mario Kart 7	a36_mkt7_circuit
Cloudtop Cruise - Mario Kart 8	a37_mkt8_skygarden
Egg Planet	a38_glx_eggplanet
Rosalina in the Observatory / Luma's Theme	a39_glx_tenmondainorosetta
Chill (for 3DS / Wii U)	a40_drm_chill_ver2
Mario Paint Medley	a41_mpt_medley
Luigi's Mansion Series Medley	a42_lm_medley
Ground Theme - New Super Mario Bros. 2	a44_new2_chijyou
Ground Theme - New Super Mario Bros. U	a45_newu_chijyou
Ground Theme - Super Mario series	a45a_newu_chijyou_smmlink
Pandemonium	a47_pty9_minigame
Tough Guy Alert!	a48_malrpg3_choitotsuyoiyatsura
The Grand Finale	a49_malrpg3_inthefinal
Mushroom Gorge - Mario Kart Wii	a50_mktw_kinokocanyon
Mario Kart Stadium - Mario Kart 8	a51_mkt8_mariokartstadium
Mario Circuit - Mario Kart 8	a52_mkt8_mariocircuit
Rainbow Road - Mario Kart 8	a53_mkt8_rainbowroad
Egg Planet	a54_glx_eggplanet
Gusty Garden Galaxy	a55_glx_windgarden
Super Mario Galaxy	a56_glx_supermariogalaxy
Sky Station	a57_glx2_sorajima
Bowser's Galaxy Generator	a58_glx2_shingingateikoku
Fated Battle	a59_glx2_shukumeinokessen
Theme of SMG2	a60_glx2_themeofsmg2
On the Hunt -Gloomy Manor Ver.- (Instrumental)	a62_lm2_urameshiyashiki
Super Bell Hill	a63_3dw_field01
The Great Tower Showdown 2	a64_3dw_finkoopa02
Champion Road	a65_3dw_milkyway
Ground Theme - Super Mario series	a66a_smb3_chijyou_smmlink
Slide	a67_sm64_slider
Ground Theme - Super Mario Bros. 2	a68_musa_chijyou	a74_musa_chijyou_hurryup
Main Theme - Super Mario 64	a69_sm64_maintheme
Title Theme - Super Mario Maker	a70_smm_title
Ground Theme - Super Mario Bros.	a71_smb_chijyou	a73_smb_chijyou_hurryup
Ground Theme - Super Mario series	a71a_smb_chijyou_smmlink
Ground Theme - Super Mario World	a72_wld_chijyou
Ground Theme - Super Mario series	a72a_wld_chijyou_smmlink
Boss Theme - Super Mario Bros. 2	a74_musa_chijyou_hurryup
Break Free (Lead the Way)	a75_smo_breakfree
Underground Moon Caverns	a76_smo_finaldungeon
Steam Gardens	a77_smo_forestkingdom
Jump Up, Super Star!	a78_smo_jumpupsuperstar
Jump Up, Super Star! (Full Band Performance)	a78_smo_jumpupsuperstar_full
Jump Up, Super Star!	a78_smo_jumpupsuperstar	a78a_smo_jumpupsuperstar_partlink_dr	a78a_smo_jumpupsuperstar_partlink_ba	a78a_smo_jumpupsuperstar_partlink_gt	a78a_smo_jumpupsuperstar_partlink_tp	a78a_smo_jumpupsuperstar_partlink_vo
New Donk City	a79_smo_newdonkcity
Ground Theme (Band Performance) - Super Mario Bros.	a80_smo_smbtheme_bandplay
Ground Theme (Full Band Performance) - Super Mario Bros.	a80_smo_smbtheme_bandplay_full
Ground Theme (Band Performance) - Super Mario Bros.	a80_smo_smbtheme_bandplay	a80a_smo_smbtheme_bandplay_partlink_dr	a80a_smo_smbtheme_bandplay_partlink_ba	a80a_smo_smbtheme_bandplay_partlink_gt	a80a_smo_smbtheme_bandplay_partlink_tp
Fossil Falls	a81_smo_waterfallkingdom
Main Theme - Luigi's Mansion	a82_lm_theme
Delfino Plaza	a83_sms_dolpiktown
King Bowser - Super Mario Bros. 3	a84_smb3_maoukuppa
Ground Theme - Super Mario Bros. 3	a85_smb3_chijyou
Fortress Boss - Super Mario Bros. 3	a86_smb3_toridenoboss
The Starship Sails	a87_glx2_hoshibunehayuku
Melty Monster	a88_glx2_magmamonster
Battle! - Paper Mario: Color Splash	a90_pmc_battle
Stadium Theme - Mario Tennis: Ultra Smash	a91_tnsus_simpletennis
World Tour	a97_gfw_worldtornament
Title Theme - Mario Party: Island Tour	a98_ptyis_maintheme
Rocket Road	a99_ptyis_boardbgm2
Title Theme - Mario vs. Donkey Kong: Tipping Stars	aa04_mvdmin_title
Rolling Hills A	aa05_mvdmin_rollinghills
Time's Running Out!	aa06_malpmm_isogebamaniau
Mixed-Up Scramble	aa07_malpmm_toriodedaikonsen
Attack and Run!	aa08_malpmm_attackendrun
Kingdom Stadium: Night	aa14_sptss_kingdumstadium_yoru
Country Field: away team	aa15_sptss_countryfield_senkou
This is Minion Turf!	aa16_malr1d_koregabokosukabattle
Excitebike - Mario Kart 8	aa17_mkt8d_excitebike
Dragon Driftway	aa18_mkt8d_dragonroad
Ice Ice Outpost	aa19_mkt8d_tsurutsurutwister
The King of Pyropuff Peak	aa20_skt_dragonboss
Plucky Pass Beginnings	aa21_skt_kinopiotaicho_theme
Ground Theme - Super Mario Bros. 2	aa22_musa_chijyou
Title Theme - Mario Tennis Aces	aa23_tnsac_mariotennistheme
Stadium Theme - Mario Tennis Aces	aa24_tnsac_stadiumtheme
Starker / Wicked Child	ad01_fc_starker
Out of Time	ad03_fc_outoftime
Bloody Tears / Monster Dance	ad04_dc2_bloodytears
Dwelling of Doom	ad05_dc2_dwellingofdoom
Simon Belmont Theme	ad07_sfc_simonbelmontnotheme
Iron-Blue Intention	ad08_vk_ironblueintention
Awake	ad09_cm_awake
Lament of Innocence	ad10_cv_shinjitsunonageki
Jet Black Incursion	ad11_sj_shikkokunoshinkou
Jail of Jewel	ad12_gl_jailofjewel
Hail from the Past	ad13_gl_hailfromthepast
Divine Bloodlines	ad14_gl_keishou_kekkonnoketsuzoku
Vampire Killer	ad15_ju_vampirekiller
Mad Forest	ad17_ju_madforest
Dracula's Castle	ad18_ju_draculascastle
Dance of Illusions	ad19_ju_danceofillusions
Beginning	ad20_ac_beginning
